id_municipio_endereco,qtd_vacinados,qtd_primeira_dose,qtd_segunda_dose
2208551,6908,3349,3064
4316600,78976,32572,33217
4320503,30862,12689,12315
4308250,7487,3272,3164
5212709,19380,9821,8941
3151602,26798,14562,11638
2923035,40196,18907,17569
3109709,48767,22001,21527
1506401,6183,4104,2041
2101608,192317,95550,81859
3113909,41993,19997,18427
3124401,21939,10533,9446
3125002,15965,7576,7057
2107407,40312,19476,17733
3510302,63806,29230,31286
2506400,43570,20574,18788
2707206,30405,16329,13815
3130200,36687,17869,16193
3515608,37791,15016,18811
3130507,39464,19771,17536
2307254,57122,30607,24239
3140407,12294,5892,5558
4305447,17984,8571,8014
2306504,39751,21708,17599
4116059,39961,19337,17416
4103206,25220,11907,11280
4307831,12451,5249,5073
1600055,6951,3740,2856
4101853,10622,4869,4624
4315057,11488,4707,4520
3508900,19022,8656,9182
3158805,18137,8633,7798
3151800,696264,318321,305950
3302270,205410,107533,87251
3541000,915957,421361,434807
3526704,418507,186223,199801
3525102,185416,80752,90665
3300704,555732,265218,236804
4307054,13672,6020,5770
2920304,29502,14294,13236
2612307,55677,25909,23340
3545803,741627,331446,363658
3305752,94842,47041,41140
5101803,217930,105188,96586
1507300,62532,36321,27963
3168507,44043,21345,18867
1100122,329849,161947,142327
2109452,60879,30788,27065
2102036,31584,18239,13389
5101308,32182,15412,13926
2600807,74227,34235,31845
2612505,162750,90293,68535
2614204,99307,49980,43370
4218806,43518,20524,18948
2516003,96673,48785,41898
5211800,141048,69577,62288
5008404,27569,11856,11634
3502705,113941,50382,56314
2700508,37813,20304,16741
2515708,12950,5975,5657
3521408,94773,41339,48584
4202503,11412,5462,5019
4110656,8232,3909,3661
2930105,229166,110599,99777
2926004,132144,67209,53993
2504603,74517,37807,32388
4208450,104746,48157,44977
3531704,19456,8869,9334
3526100,80050,36161,37998
2915007,21522,13116,8239
3510708,55425,24009,26315
4207577,12984,5905,5798
2904852,53828,25924,24164
2915809,73738,35190,31280
2310506,119853,63052,49846
3165701,30200,13760,13125
3163201,19158,8235,8161
3149101,47320,21865,20841
3145455,17248,8556,7597
4106209,66146,31636,29645
3110905,60002,27804,25949
5108006,36889,19388,16521
5104609,34553,17123,15646
5108303,11880,5868,5028
2502607,18374,8655,7664
2901908,30917,17068,11621
2930154,51959,31066,19766
2111409,47089,24680,21368
2101939,16478,7998,7148
3545506,20317,8505,10012
1718881,5049,2483,2115
2404002,15410,7158,6854
3123106,17965,8295,7725
3119906,14469,6753,6405
3554201,18475,7649,9495
2106300,45452,21401,19568
4317954,11217,4737,4544
2918704,10849,5514,5053
5106265,22186,11007,9633
3165800,8107,3625,3535
2500775,25388,12153,10633
2504074,16374,7475,6952
3160603,9978,4816,4440
5105176,28971,14594,12871
4315073,8712,3625,3538
2502151,27696,12931,11654
2504702,22961,10927,9981
2805208,16956,8636,7012
2517407,8459,3976,3649
5000252,17505,8119,7801
2110237,24098,11690,10759
