ano,turno,id_municipio,sigla_partido,id_candidato_bd,resultado,QTD_CANDIDATOS_MUN,FL_SITUACAO,FL_OPOSICAO,PORC_VOTOS,QTD_CANDIDATOS_MUN_1,SOMA_OPOSICAO,SOMA_SITUACAO
2020,1,4314753,PSDB,431841,nao eleito,2,1,0,0.3509060956,2,1,1
2020,1,4315008,PP,878502,nao eleito,2,1,0,0.3887195122,2,1,1
2020,1,4315008,PDT,393124,eleito,2,0,1,0.6112804878,2,1,1
2020,1,4319158,PP,1703517,eleito,2,1,0,0.5665065776,2,1,1
2020,1,4319158,PDT,1555204,nao eleito,2,0,1,0.4334934224,2,1,1
2020,1,2107456,PDT,1224240,eleito,2,0,1,0.6006111895,2,1,1
2020,1,2107456,PSC,1521519,nao eleito,2,1,0,0.3993888105,2,1,1
2020,1,2209955,PP,572217,eleito,2,1,0,0.5717041801,2,1,1
2020,1,2209955,PT,1281506,nao eleito,2,0,1,0.4282958199,2,1,1
2020,1,2926202,PSB,1498172,nao eleito,2,0,1,0.4600710433,2,1,1
2020,1,2926202,PSD,550705,eleito,2,1,0,0.5399289567,2,1,1
2020,1,3109501,MDB,206015,eleito,2,1,0,0.6648059905,2,1,1
2020,1,3109501,PSB,205923,nao eleito,2,0,1,0.3351940095,2,1,1
2020,1,4305900,PP,890770,nao eleito,2,1,0,0.4441170693,2,1,1
2020,1,4305900,PSB,240420,eleito,2,0,1,0.55588293070000006,2,1,1
2020,1,4311122,PP,411483,eleito,2,1,0,0.5347291459,2,1,1
2020,1,4311122,PDT,123570,nao eleito,2,0,1,0.4652708541,2,1,1
2020,1,1702703,PV,474193,eleito,2,0,1,0.6429669485,2,1,1
2020,1,1702703,SOLIDARIEDADE,1124789,nao eleito,2,1,0,0.3570330515,2,1,1
2020,1,2905107,PSB,1527294,eleito,2,0,1,0.5146403565,2,1,1
2020,1,2905107,PSD,230761,nao eleito,2,1,0,0.4853596435,2,1,1
2020,1,2926707,PSB,137937,eleito,2,0,1,0.5915317559,2,1,1
2020,1,2926707,PSD,420525,nao eleito,2,1,0,0.4084682441,2,1,1
